id,state,created_date,modified_date,deleted_date,nombre,genero,sinopsis,emision,fecha_salida,image,promedio_puntuaciones,categoria,color,cantidad_episodios,link_imdb,promedio_puntuaciones_imdb
61,1,2023-10-08,2024-07-07,2024-07-07,Beatless,"1,9,32,35","With the introduction of an ultra-advanced AI that surpasses human intelligence, beings that mankind is yet to fully comprehend made from materials far too advanced for human technology begin coming into being. Lacia, an hIE equipped with a black coffin-shaped device, is one of t...",0,2018-01-12,portada/2023/05/10/Beatless_MID.jpg,6.9,1,5,24,https://www.imdb.com/title/tt7900936/,5.7
62,1,2023-10-08,2024-07-07,2024-07-07,Beelzebub,"1,5,8,34,36,43","Oga Tatsumi is a first year student in Ishiyama High, a notorious school for delinquents. One day he sees a man floating by, and the man suddenly splits in half to reveal a baby boy inside!.",0,2011-01-01,portada/2022/01/11/Beelzebub_MID.png,6.8,1,2,60,https://www.imdb.com/title/tt1882240/,7.5
63,1,2023-10-08,2024-07-07,2024-07-07,Ben-To,"1,5,22","The supermarket is an important building in any city, for they provide a convenient way to purchase a variety of food in a family-friendly, safe environment. However, these stores changes in the blink of an eye once the unsold bento boxes go on their nightly half-off sales. War b...",0,2011-10-01,portada/2022/01/11/Ben-To_MID.png,6.3,1,8,12,https://www.imdb.com/title/tt3625280/,6.6
64,1,2023-10-08,2024-07-07,2024-07-07,Berserk,"2,8,9,12,21,24,32,43,45","A lone sellsword named Guts gets recruited into a mercenary band and attempts to help the Band's leader, Griffith, on his rise to power.",0,2012-02-04,portada/2022/01/11/Berserk_MID.jpg,8.8,1,5,23,https://www.imdb.com/title/tt2210479/,7.5
65,1,2023-10-08,2024-07-07,2024-07-07,Big Order,"1,38,42","Ten years ago, a child wished for the destruction of the world. Now, a group of people has the ability to grant their wishes depending on their power.",0,2015-10-01,portada/2022/01/11/Big_Order_MID.jpg,5.4,1,8,11,https://www.imdb.com/title/tt5686870/,4.8
66,1,2023-10-08,2024-07-07,2024-07-07,Binbougami ga!,"5,27,38,43",A goddess of misfortune comes to Earth to deal with the obnoxious but lucky girl whose good fortune is causing the world to fall out of balance.,0,2012-07-01,portada/2022/01/11/Binbougami_Ga_MID.jpg,5.5,1,8,13,https://www.imdb.com/title/tt2250040/,7.0
67,1,2023-10-08,2024-07-07,2024-07-07,Black Blood Brothers,"1,5,12,38,43,47","Remnants of a vampire clan that wanted to rule the world alone, but got defeated in a war by joined forces of other vampires and humans, kidnap the brother of a vampire war veteran. He looks for them in a secret vampire city.",0,2006-12-01,portada/2022/01/11/Black_Blood_Brothers_MID.png,6.4,1,8,12,https://www.imdb.com/title/tt0878230/,6.8
68,1,2023-10-08,2024-07-07,2024-07-07,Black Bullet,"1,26,35,36","A decade after a virus forces people to live in confinement behind barium walls, two childhood friends with superpowers fight to save the human race.",0,2014-04-01,portada/2022/01/11/Black_Bullet_MID.jpg,6.4,1,8,13,https://www.imdb.com/title/tt3257166/,6.8
69,1,2023-10-08,2024-07-07,2024-07-07,Black Cat,"2,5,35,38,42","Train Heartnet is a famous assassin known as Black Cat. He works for Chronos, an organization that secretly controls the world.",0,2005-10-01,portada/2022/01/11/Black_Cat_MID.jpg,6.5,1,5,23,https://www.imdb.com/title/tt1085074/,6.9
70,1,2023-10-08,2024-07-07,2024-07-07,Black Clover,"1,5,12,21,38","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",0,2017-10-01,portada/2022/01/11/Black_Clover_MID.png,8.1,1,7,170,https://www.imdb.com/title/tt7441658/,8.2
71,1,2023-10-08,2024-07-07,2024-07-07,Black Lagoon,"1,36","A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.",0,2006-04-01,portada/2022/01/11/Black_Lagoon_MID.jpg,8.0,1,5,24,https://www.imdb.com/title/tt0962826/,7.9
72,1,2023-10-08,2024-07-07,2024-07-07,Blade,"1,9,45,47","Legendary half-vampire, half-human vampire hunter Blade is tracking Deacon Frost, a very powerful and influential vampire who killed his mother and who heads Existence, a secretive vampire organization that operates in Southeast Asia.",0,2011-07-01,portada/2022/01/11/Blade_MID.jpg,5.3,1,8,12,https://www.imdb.com/title/tt1988235/,6.5
73,1,2023-10-08,2024-07-07,2024-07-07,Blade & Soul,"1,2,11,12,22","Alka is an assassin for the Clan of the Sword. She's on a journey to find the woman Jin Valel, who killed her master Hon. Jin is demon-like woman who controls the Energy of Chaos and kills without feeling - not unlike how Alka has learned to kill in her work as an assassin. On he...",0,2014-04-01,portada/2022/01/11/Blade__SoulMID.jpg,5.1,1,8,15,https://www.imdb.com/title/tt3519246/,6.1
74,1,2023-10-08,2024-07-07,2024-07-07,Blassreiter,"1,35","The story is set in a fictional Germany and centers around the outbreak of bio-mechanical creatures named ""Demoniacs"", who rise from corpses and attack people mindlessly. All the while, a number of human-turned-Demoniacs appear. Some use their powers for good whilst others for ev...",0,2008-04-01,portada/2023/10/10/Blassreiter.jpg,6.3,1,5,24,https://www.imdb.com/title/tt1215996/,6.6
